Status,Age.mat,Road.med
1.0,1.0,0.085432015
0.0,0.95,0.1
0.0,0.82,0.1
1.0,1.25,0.1
0.0,1.75,0.1
0.0,3.5,0.023347253
0.0,NA,0.028208351
0.0,0.25,0.1
0.0,0.83,0.1
0.0,NA,0.1
0.0,0.73,0.1
0.0,1.0,0.1
1.0,3.0,0.1
0.0,1.5,0.034080239
1.0,1.0,0.07848686
1.0,1.74,0.032011665
0.0,1.0,0.044617511
0.0,0.11,0.1
0.0,0.97,0.1
0.0,NA,0.010563734
0.0,1.36,0.1
0.0,0.92,0.031983569
0.0,1.0,0.1
0.0,NA,0.023820397
0.0,0.78,0.1
0.0,0.75,0.1
0.0,NA,0.089155972
0.0,1.87,0.1
0.0,0.13,0.1
0.0,0.65,0.1
0.0,1.0,0.1
0.0,0.51,0.032552358000000003
0.0,0.34,0.14612861
0.0,0.97,0.108580142
0.0,0.94,0.113626737
0.0,0.1,0.1
1.0,1.0,0.313980967
0.0,NA,0.122203596
1.0,2.5,0.1
1.0,0.21,0.1
0.0,1.0,0.002971318
0.0,0.9,0.095078249
1.0,1.0,NA
0.0,1.75,0.025579305
1.0,0.83,0.222031459
1.0,6.0,0.1
0.0,0.82,0.169878967
0.0,0.33,0.103248477
0.0,NA,0.1
0.0,2.49,0.1
1.0,1.3,0.1
0.0,NA,0.1
0.0,0.33,0.1
0.0,0.58,0.1
0.0,NA,0.029831707
0.0,0.42,0.020970575
0.0,NA,0.1
0.0,0.44,0.040124562
0.0,0.42,0.1
0.0,0.17,0.1
0.0,0.08,0.1
0.0,1.0,0.034710392
0.0,2.06,0.1
1.0,2.0,0.042742871
0.0,2.5,0.1
0.0,2.5,0.016611076
0.0,1.94,0.049665056
0.0,1.31,0.024680656
0.0,3.0,0.1
0.0,3.0,0.1
0.0,NA,0.1
0.0,0.11,0.1
0.0,0.58,0.1
0.0,0.27,0.098061562
0.0,NA,0.1
0.0,0.98,0.093305431
0.0,0.82,0.040644994
0.0,0.01,0.1
0.0,2.0,0.1
0.0,0.13,NA
1.0,2.0,0.08629068
1.0,0.13,0.077595218999999993
0.0,NA,0.077970225
1.0,0.33,0.141771287
1.0,1.0,0.037847219
1.0,3.0,0.013535128
1.0,5.0,NA
0.0,0.13,0.091398925
0.0,1.5,0.097693376
0.0,NA,0.1
0.0,0.83,0.1
0.0,0.94,0.1
0.0,0.25,0.1
0.0,0.92,0.100496434
0.0,0.1,0.003914535
0.0,0.18,0.088984497
0.0,0.42,0.028795568
0.0,0.83,0.058667321
0.0,0.84,0.1
0.0,0.1,0.028533416
1.0,0.75,0.137182198
0.0,0.23,NA
1.0,NA,0.028137742
0.0,0.83,0.1
0.0,0.92,0.013925669
1.0,1.0,NA
0.0,NA,0.1
0.0,0.97,0.09532389
0.0,0.97,0.097232983
1.0,1.0,0.268380702
0.0,NA,0.1
0.0,0.08,0.1
0.0,1.0,0.032974094
1.0,4.0,0.04036569
0.0,0.5,0.301230013
0.0,2.0,0.030294904
0.0,NA,0.02677541
1.0,0.33,0.06871368
0.0,0.1,0.017406046
0.0,2.0,0.027397484
0.0,0.35,0.1
0.0,0.2,0.100755855
0.0,0.85,0.027430678
0.0,0.91,0.094102588
1.0,2.0,0.1
1.0,3.0,NA
0.0,1.5,0.1
1.0,3.0,NA
0.0,0.7,0.023709868
1.0,0.27,0.298831776
0.0,2.0,0.06055792
0.0,1.0,0.019016182
0.0,NA,0.011716548
