site, description
0813SB, "Andrews Bay - Seward Park"
A732SB, "Angle Lake Beach"
A709SB, "Beaver Lake Beach"
MICBSB, "Clarke Beach"
0828ESB, "East Gene Coulon"
0806ESB, "East Juanita Beach"
A764SB, "Echo Lake"
ENATAISB, "Enatai Beach"
A735SB, "Fivemile Lake"
0828SB, "Gene Coulon"
A734_GM21, "Green Lake Duck Island Launch"
A734SB, "Green Lake- East"
A734WSB, Green Lake- West"
GROVELDSB, "Groveland Park Beach"
0207SB, "Hidden Lake"
A422SB, "Houghton Beach"
0602SB, "Idylwood Beach"
A620, "Idylwood Creek"
0437, "John&#39;s Creek"
0806SB, "Juanita Beach"
0446, "Juanita Creek"
KNYDALESB, "Kennydale Beach"
0615SB, "Lake Sammamish Beach"
O717SB, "Lake Wilderness Beach"
0801SB, "Logboom Park"
SD017SB, "Luther Burbank Beach"
0852SB, "Madison Park Beach"
SD007SB, "Madrona Beach"
0826SB, "Magnuson Beach"
0826OLA, "Magnuson Beach Off Leash Area"
MARINAPSB, "Marina Park Beach"
0818SB, "Matthews Beach"
0860SB, "Medina Beach"
0834SB, "Meydenbauer Bay Beach"
0820SB, "Mount Baker Beach"
0805ASB, "NE 130th  Pl"
083930SB, "Newcastle Beach"
SD017NSB, "North Luther Burbank Beach"
0818NSB, "North Matthews Beach"
0805BSB, "OO Denny Beach"
E708SB, "Pine Lake"
4903SB, "Pritchard Island Beach"
A999SB, "Rattlesnake Lake "
SAMMLANDINGSB, "Sammamish Landing Beach"
SD017SSB, "South Luther Burbank Beach"
0818SSB, "South Matthews Beach"
A434, "Thornton Creek"
WAVRLYPSB, "Waverly Park Beach"
0828WSB, "West Gene Coulon"
0806WSB, "West Juanita Beach"
0825SB, "Yarrow Bay"


